YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,4,3,1,4/3/2023 0:00,AA,N802NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,12953,1295304,31703,LGA,"New York, NY",NY,New York,1211,1212,1,1,0,21,1233,1622,7,1629,1629,0,0,0,0
2023,4,11,2,4/11/2023 0:00,AA,N754UW,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,1057,1051,-6,0,0,14,1105,1225,21,1305,1246,-19,0,0,0
2023,4,13,4,4/13/2023 0:00,DL,N321US,15096,1509602,35096,SYR,"Syracuse, NY",NY,New York,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,615,612,-3,0,0,10,622,809,20,841,829,-12,0,0,0
2023,4,9,7,4/9/2023 0:00,AA,N660AW,11423,1142308,31423,DSM,"Des Moines, IA",IA,Iowa,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,810,759,-11,0,0,14,813,844,7,919,851,-28,0,0,0
2023,4,7,5,4/7/2023 0:00,F9,N337FR,14679,1467903,33570,SAN,"San Diego, CA",CA,California,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,625,615,-10,0,0,21,636,929,16,949,945,-4,0,0,0
2023,4,10,1,4/10/2023 0:00,UA,N473UA,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,14057,1405702,34057,PDX,"Portland, OR",OR,Oregon,1245,1251,6,6,0,26,1317,1458,2,1512,1500,-12,0,0,0
2023,4,30,7,4/30/2023 0:00,OH,N614NN,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,11996,1199603,31871,GSP,"Greer, SC",SC,South Carolina,1805,1759,-6,0,0,23,1822,1851,11,1856,1902,6,6,0,0
2023,4,26,3,4/26/2023 0:00,NK,N959NK,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,Utah,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1350,1453,63,63,1,12,1505,1457,7,1416,1504,48,48,1,0
2023,4,16,7,4/16/2023 0:00,OO,N958SW,14457,1445702,34457,RAP,"Rapid City, SD",SD,South Dakota,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1115,1108,-7,0,0,12,1120,1211,7,1244,1218,-26,0,0,0
2023,4,28,5,4/28/2023 0:00,AA,N306PB,14524,1452401,34524,RIC,"Richmond, VA",VA,Virginia,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,1814,1916,62,62,1,23,1939,2028,7,1930,2035,65,65,1,0
