YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,5,7,2/5/2023 0:00,WN,19393,N8530W,617,14524,1452401,34524,RIC,"Richmond, VA",VA,Virginia,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1710,1717,7,7,0,1700-1759,22,1739,1855,6,1900,1901,1,1,0,0,110,104,76,1,481
2023,2,1,3,2/1/2023 0:00,DL,19790,N873DN,573,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1510,1511,1,1,0,1500-1559,10,1521,2149,7,2219,2156,-23,0,0,0,249,225,208,1,1927
2023,2,6,1,2/6/2023 0:00,OO,20304,N187SY,3487,14893,1489302,33192,SMF,"Sacramento, CA",CA,California,14679,1467903,33570,SAN,"San Diego, CA",CA,California,1615,1601,-14,0,0,1600-1659,18,1619,1729,6,1746,1735,-11,0,0,0,91,94,70,1,480
2023,2,6,1,2/6/2023 0:00,UA,19977,N491UA,421,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,700,655,-5,0,0,0700-0759,26,721,714,16,747,730,-17,0,0,0,107,95,53,1,235
2023,2,5,7,2/5/2023 0:00,WN,19393,N8639B,2117,14893,1489302,33192,SMF,"Sacramento, CA",CA,California,14057,1405702,34057,PDX,"Portland, OR",OR,Oregon,2155,2146,-9,0,0,2100-2159,8,2154,2310,3,2325,2313,-12,0,0,0,90,87,76,1,479
2023,2,5,7,2/5/2023 0:00,MQ,20398,N253NN,3831,10980,1098002,30980,CHA,"Chattanooga, TN",TN,Tennessee,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,600,559,-1,0,0,0600-0659,12,611,712,9,727,721,-6,0,0,0,147,142,121,1,695
2023,2,2,4,2/2/2023 0:00,AA,19805,N162UW,832,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1305,1304,-1,0,0,1300-1359,16,1320,1523,5,1547,1528,-19,0,0,0,282,264,243,1,1773
2023,2,5,7,2/5/2023 0:00,NK,20416,N960NK,2866,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,13244,1324402,33244,MEM,"Memphis, TN",TN,Tennessee,600,554,-6,0,0,0600-0659,26,620,709,7,714,716,2,2,0,0,134,142,109,1,684
2023,2,1,3,2/1/2023 0:00,AA,19805,N524UW,1829,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,13931,1393102,33667,ORF,"Norfolk, VA",VA,Virginia,1300,1256,-4,0,0,1300-1359,12,1308,1349,5,1408,1354,-14,0,0,0,68,58,41,1,290
2023,2,2,4,2/2/2023 0:00,YX,20452,N216JQ,5646,12478,1247805,31703,JFK,"New York, NY",NY,New York,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,2250,2243,-7,0,0,2200-2259,31,2314,2357,5,2358,2,4,4,0,0,68,79,43,1,184
