YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,1,8,7,1/8/2023 0:00,MQ,20398,MQ,N202NN,3443,11423,1142308,31423,DSM,"Des Moines, IA",IA,Iowa,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,609,617,8,8,0,0600-0659,38,655,951,4,929,955,26,26,1,0900-0959,0,140,158,116,1,897
2023,1,8,7,1/8/2023 0:00,OO,20304,OO,N806SK,3811,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,14633,1463303,32547,RST,"Rochester, MN",MN,Minnesota,1140,1139,-1,0,0,1100-1159,15,1154,1212,2,1244,1214,-30,0,0,1200-1259,0,64,35,18,1,76
2023,1,8,7,1/8/2023 0:00,AS,19930,AS,N319AS,1440,13891,1389101,32575,ONT,"Ontario, CA",CA,California,14057,1405702,34057,PDX,"Portland, OR",OR,Oregon,1955,1948,-7,0,0,1900-1959,14,2002,2205,4,2217,2209,-8,0,0,2200-2259,0,142,141,123,1,838
2023,1,6,5,1/6/2023 0:00,AA,19805,AA,N928AM,1392,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1041,1034,-7,0,0,1000-1059,14,1048,1311,3,1330,1314,-16,0,0,1300-1359,0,169,160,143,1,992
2023,1,9,1,1/9/2023 0:00,AA,19805,AA,N652AW,1362,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,1103,1202,59,59,1,1100-1159,14,1216,1329,6,1249,1335,46,46,1,1200-1259,0,106,93,73,1,550
2023,1,1,7,1/1/2023 0:00,AS,19930,AS,N558AS,556,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1255,1258,3,3,0,1200-1259,12,1310,1644,7,1630,1651,21,21,1,1600-1659,0,155,173,154,1,1024
2023,1,5,4,1/5/2023 0:00,WN,19393,WN,N8560Z,636,13232,1323202,30977,MDW,"Chicago, IL",IL,Illinois,14524,1452401,34524,RIC,"Richmond, VA",VA,Virginia,1315,1314,-1,0,0,1300-1359,17,1331,1558,2,1605,1600,-5,0,0,1600-1659,0,110,106,87,1,629
2023,1,5,4,1/5/2023 0:00,UA,19977,UA,N38458,435,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,Utah,1957,2006,9,9,0,1900-1959,19,2025,2223,5,2238,2228,-10,0,0,2200-2259,0,221,202,178,1,1250
2023,1,3,2,1/3/2023 0:00,9E,20363,9E,N313PQ,4886,10994,1099402,30994,CHS,"Charleston, SC",SC,South Carolina,12953,1295304,31703,LGA,"New York, NY",NY,New York,930,927,-3,0,0,0900-0959,20,947,1119,9,1128,1128,0,0,0,1100-1159,0,118,121,92,1,641
2023,1,9,1,1/9/2023 0:00,OH,20397,OH,N581NN,5036,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,14685,1468502,34685,SAV,"Savannah, GA",GA,Georgia,1948,1938,-10,0,0,1900-1959,17,1955,2122,3,2147,2125,-22,0,0,2100-2159,0,119,107,87,1,519
