YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,8,4,6/8/2023 0:00,DL,N3772H,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1120,1116,-4,0,0,18,1134,1402,7,1411,1409,-2,0,0,0
2023,6,18,7,6/18/2023 0:00,AA,N876NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,14570,1457002,34570,RNO,"Reno, NV",NV,Nevada,1940,2152,132,132,1,14,2206,2311,6,2104,2317,133,133,1,0
2023,6,11,7,6/11/2023 0:00,AA,N723UW,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,Pennsylvania,1837,1833,-4,0,0,12,1845,1926,5,1951,1931,-20,0,0,0
2023,6,15,4,6/15/2023 0:00,AA,N662AW,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,11540,1154005,30615,ELP,"El Paso, TX",TX,Texas,1113,1118,5,5,0,17,1135,1153,4,1157,1157,0,0,0,0
2023,6,23,5,6/23/2023 0:00,WN,N498WN,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,12954,1295407,32575,LGB,"Long Beach, CA",CA,California,1845,2004,79,79,1,11,2015,2124,3,2005,2127,82,82,1,0
2023,6,9,5,6/9/2023 0:00,NK,N963NK,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,2225,2236,11,11,0,24,2300,2348,8,2353,2356,3,3,0,0
2023,6,22,4,6/22/2023 0:00,AS,N937AK,12478,1247805,31703,JFK,"New York, NY",NY,New York,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,930,925,-5,0,0,38,1003,1210,12,1247,1222,-25,0,0,0
2023,6,28,3,6/28/2023 0:00,WN,N7731A,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,2140,2224,44,44,1,11,2235,2333,21,2305,2354,49,49,1,0
2023,6,17,6,6/17/2023 0:00,AA,N159AN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,835,839,4,4,0,39,918,1238,15,1240,1253,13,13,0,0
2023,6,22,4,6/22/2023 0:00,G4,257NV,10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,Pennsylvania,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1214,1205,-9,0,0,21,1226,1457,6,1500,1503,3,3,0,0
