YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,3,5,7,3/5/2023 0:00,B6,N952JB,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,14635,1463502,31714,RSW,"Fort Myers, FL",FL,Florida,1615,1636,21,21,1,19,1655,1954,4,2002,1958,-4,0,0,0
2023,3,7,2,3/7/2023 0:00,B6,N375JB,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,12478,1247805,31703,JFK,"New York, NY",NY,New York,1918,1910,-8,0,0,15,1925,2120,6,2129,2126,-3,0,0,0
2023,3,3,5,3/3/2023 0:00,B6,N640JB,12478,1247805,31703,JFK,"New York, NY",NY,New York,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,620,641,21,21,1,18,659,903,5,854,908,14,14,0,0
2023,3,2,4,3/2/2023 0:00,OH,N582NN,14100,1410005,34100,PHL,"Philadelphia, PA",PA,Pennsylvania,10599,1059904,30599,BHM,"Birmingham, AL",AL,Alabama,1542,1542,0,0,0,16,1558,1706,3,1713,1709,-4,0,0,0
2023,3,6,1,3/6/2023 0:00,AA,N840NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,10529,1052907,30529,BDL,"Hartford, CT",CT,Connecticut,1848,1843,-5,0,0,16,1859,2243,4,2307,2247,-20,0,0,0
2023,3,1,3,3/1/2023 0:00,DL,N939AT,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,11953,1195302,31953,GNV,"Gainesville, FL",FL,Florida,1930,1935,5,5,0,12,1947,2033,1,2040,2034,-6,0,0,0
2023,3,3,5,3/3/2023 0:00,G4,253NV,14814,1481403,30476,SHV,"Shreveport, LA",LA,Louisiana,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1132,1159,27,27,1,9,1208,1311,7,1249,1318,29,29,1,0
2023,3,2,4,3/2/2023 0:00,OO,N679SA,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,11122,1112205,31122,CPR,"Casper, WY",WY,Wyoming,1130,1136,6,6,0,15,1151,1231,3,1240,1234,-6,0,0,0
2023,3,4,6,3/4/2023 0:00,WN,N8575Z,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,1845,1914,29,29,1,9,1923,2011,2,2005,2013,8,8,0,0
2023,3,6,1,3/6/2023 0:00,YX,N729YX,13342,1334207,33342,MKE,"Milwaukee, WI",WI,Wisconsin,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,738,730,-8,0,0,13,743,1022,20,1100,1042,-18,0,0,0
2023,3,3,5,3/3/2023 0:00,DL,N549US,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,14685,1468502,34685,SAV,"Savannah, GA",GA,Georgia,2056,2317,141,141,1,17,2334,33,5,2157,38,161,161,1,0
2023,3,6,1,3/6/2023 0:00,DL,N16065,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,730,727,-3,0,0,17,744,841,7,902,848,-14,0,0,0
2023,3,1,3,3/1/2023 0:00,WN,N8309C,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1930,1930,0,0,0,20,1950,2033,7,2035,2040,5,5,0,0
2023,3,4,6,3/4/2023 0:00,F9,N307FR,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,2139,2133,-6,0,0,15,2148,2237,8,2249,2245,-4,0,0,0
2023,3,2,4,3/2/2023 0:00,DL,N104DN,12953,1295304,31703,LGA,"New York, NY",NY,New York,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,1529,1531,2,2,0,57,1628,1903,3,1849,1906,17,17,1,0
2023,3,6,1,3/6/2023 0:00,WN,N257WN,14908,1490803,32575,SNA,"Santa Ana, CA",CA,California,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1535,1534,-1,0,0,6,1540,1817,31,1850,1848,-2,0,0,0
2023,3,2,4,3/2/2023 0:00,AA,N314RH,10693,1069302,30693,BNA,"Nashville, TN",TN,Tennessee,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,603,557,-6,0,0,24,621,905,10,920,915,-5,0,0,0
2023,3,5,7,3/5/2023 0:00,WN,N8811L,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,10257,1025702,30257,ALB,"Albany, NY",NY,New York,935,935,0,0,0,11,946,1206,4,1220,1210,-10,0,0,0
2023,3,1,3,3/1/2023 0:00,DL,N385DN,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,1110,1109,-1,0,0,29,1138,1412,4,1420,1416,-4,0,0,0
