YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,5,2,2,5/2/2023 0:00,NK,N980NK,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,555,552,-3,0,0,18,610,653,10,712,703,-9,0,0,0
2023,5,30,2,5/30/2023 0:00,9E,N146PQ,11150,1115005,31150,CSG,"Columbus, GA",GA,Georgia,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1430,1447,17,17,1,11,1458,1519,16,1529,1535,6,6,0,0
2023,5,19,5,5/19/2023 0:00,OO,N755SK,11140,1114008,31140,CRP,"Corpus Christi, TX",TX,Texas,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1647,,,,,,,,,1821,,,,,1
2023,5,20,6,5/20/2023 0:00,WN,N299WN,12339,1233904,32337,IND,"Indianapolis, IN",IN,Indiana,15304,1530402,33195,TPA,"Tampa, FL",FL,Florida,1635,1644,9,9,0,11,1655,1843,20,1845,1903,18,18,1,0
2023,5,4,4,5/4/2023 0:00,WN,N461WN,14679,1467903,33570,SAN,"San Diego, CA",CA,California,13796,1379610,32457,OAK,"Oakland, CA",CA,California,1550,1623,33,33,1,10,1633,1735,4,1720,1739,19,19,1,0
2023,5,8,1,5/8/2023 0:00,WN,N7873A,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,10423,1042302,30423,AUS,"Austin, TX",TX,Texas,945,942,-3,0,0,8,950,1023,17,1045,1040,-5,0,0,0
2023,5,13,6,5/13/2023 0:00,YX,N650RW,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,14321,1432105,34321,PWM,"Portland, ME",ME,Maine,2230,2224,-6,0,0,29,2253,2345,3,2357,2348,-9,0,0,0
2023,5,6,6,5/6/2023 0:00,NK,N975NK,14908,1490803,32575,SNA,"Santa Ana, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1305,1309,4,4,0,22,1331,1417,5,1417,1422,5,5,0,0
2023,5,28,7,5/28/2023 0:00,HA,N380HA,13796,1379610,32457,OAK,"Oakland, CA",CA,California,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,825,830,5,5,0,13,843,1039,14,1050,1053,3,3,0,0
2023,5,6,6,5/6/2023 0:00,NK,N930NK,10713,1071302,30713,BOI,"Boise, ID",ID,Idaho,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1555,1813,138,138,1,12,1825,1850,9,1642,1859,137,137,1,0
